PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi;TahminMi
https://www.instagram.com/p/DRpmQq5DYUx/;Photo;157;3;0;2025-11-29 21:11:35;https://scontent-mia3-3.cdninstagram.com/v/t51.82787-15/587775841_18043781495704930_3812217318850819435_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzc3NjcxODAzMzg2MDI2NTI2NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=bNbRUI_qGf4Q7kNvwFSLscC&_nc_oc=AdmtygRh-4qTupPDWBg9gw8rw0q4nqqBpubcrHAqC4u4dQXUR1QrMptekNOEVK-VRgk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia3-3.cdninstagram.com&_nc_gid=aWKAt1d0KAtwBmijqBGZKg&oh=00_Afg5crj8pJeZzjaoU3HQynGvBVr6Z-BQ8n6DOLGWZeuMzw&oe=69311CAF;39. Olağan Kurultayımızda yeniden Genel Başkanlığımıza seçilen Sayın Özgür Özel’i gönülden kutluyorum.  Halkımızın yüzünü güldürecek, Cumhuriyetimizi güçlendirecek günleri birlikte kuracağız. Yolumuz açık olsun…  Şimdi iktidar zamanı…;49520.0;0
https://www.instagram.com/p/DRpIu93jdWZ/;Carousel;737;7;0;2025-11-29 16:53:34;https://scontent-mia5-1.cdninstagram.com/v/t51.82787-15/588159773_18043758404704930_7895682807979302322_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3NjU4ODE2NDQ1MTA5MzE2NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=07ucQFmruV4Q7kNvwFYTQke&_nc_oc=Adn0TXDU_cwi08WK1x5-KlcRs5_J3aTdJMBeiL4OiKOVMUwi3GkxRPIhKgj5gylTs_Q&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_gid=aWKAt1d0KAtwBmijqBGZKg&oh=00_AfgKnCY29DONrWVtvkoFTJIgpfUvU76hDonUnzNBBuVXLQ&oe=69310745;CHP 39. Olağan Kongresi’nin 2.gününde Genel Başkan seçiminde oyumuzu kullandık. Şimdi iktidar zamanı. Amasya hazır, Türkiye hazır!;;0
https://www.instagram.com/p/DRmb4UpiLIx/;Carousel;610;6;0;2025-11-28 15:43:09;https://scontent-mia5-1.cdninstagram.com/v/t51.82787-15/587465160_18043651529704930_1412271866334879221_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3NTgyNzkzNjk1MjIwMTkyOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjgxOXg2MTQuc2RyLkMzIn0%3D&_nc_ohc=YPgTUpnrnuQQ7kNvwGSFeG7&_nc_oc=AdmZzWkYcKO7Iinih4LjyXefe0Zi1OodCCmTpDfRKzGlmaEPYk2XJ_BRmk1ilu7ehXM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_gid=aWKAt1d0KAtwBmijqBGZKg&oh=00_AfjnTMr-_oXSubiGXQCov_ijL0DbJcPMqe20nH6GhWXZPw&oe=6931056F;"Partimizin 39. Olağan Kongresindeyiz.  Bugün Program Kurultayı ile yeni dönemin kapılarını aralıyoruz. Bilimle, akılla, emekle; halkın ihtiyaçlarına cevap veren güçlü bir programla iktidara yürüyoruz.  Türkiye hazır. CHP hazır. Şimdi iktidar zamanı.";;0
https://www.instagram.com/p/DRfhnEQDTZK/;Carousel;560;2;0;2025-11-25 23:18:33;https://scontent-mia3-3.cdninstagram.com/v/t51.82787-15/588649245_18043387325704930_1761322212962238677_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc3Mzg4MjgyMTgxMTk5MzUxNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=vEfaSeczBe8Q7kNvwE4DLTM&_nc_oc=AdlwVVQhYtywtXhyNu2kezR64IX11j9zZr8EZFNAh5mFJCR9pn0_y6wTZjDAPlBK8DU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia3-3.cdninstagram.com&_nc_gid=aWKAt1d0KAtwBmijqBGZKg&oh=00_AfjAplbMi6quNRAIQ1jCtZN8YaxBYiN9vjJdcT6gKqhn1A&oe=6930F9C4;Belediyemiz kreşlerinde emek veren öğretmenlerimiz ve mesai arkadaşlarımızla Öğretmenler Günü akşam yemeğinde bir araya geldik. Çocuklarımızın geleceğine sevgiyle dokunan tüm öğretmenlerimize yürekten teşekkür ediyorum. İyi ki varsınız, iyi ki bu şehrin gönül emekçisisiniz.;;0
https://www.instagram.com/p/DRfZWOeDTwf/;Carousel;489;0;0;2025-11-25 22:06:20;https://scontent-mia3-2.cdninstagram.com/v/t51.82787-15/589129978_18043382243704930_8449164009333438981_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzc3Mzg0NjQ4MDc4NTA2MDE0OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTQ0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=C45zzQkxHeIQ7kNvwHOb1lZ&_nc_oc=AdmmV_vhtpHpEDkeI3pBzZaWq0i2RfGgkZu9fMEycIXK0Ei2TJkKCk6ekEiyABhJd3M&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_gid=aWKAt1d0KAtwBmijqBGZKg&oh=00_Afjf_-02snGXo4ozeHZ6apXP0ozP54RuWkBSkSOJKfaL5Q&oe=6931207B;Belediyemiz Kitap Fuarı’nda emek veren mesai arkadaşlarımızla bir araya geldik. Bu şehre değer katan her bir emek için minnettarım. Birlikte daha güzel işler yapmaya devam edeceğiz.;;0
https://www.instagram.com/p/DRfTdgjjbNc/;Reels;1290;12;45680;2025-11-25 21:15:33;https://scontent-mia5-1.cdninstagram.com/v/t51.71878-15/588067281_853629780581636_7750556057422215468_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3MzgyMDYwMzQ2NDUyODczMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=kXn8nTjwEuAQ7kNvwHDw19N&_nc_oc=AdmOYvKTG6mjVHIv4nU6j6URAdj3uFj2J-DmAOqB2T7bKGeLqKH7_LV4XiD7B1FQ088&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_gid=aWKAt1d0KAtwBmijqBGZKg&oh=00_Afh1VhaFzcL42UAnWG-NBvx7g291D6GYmXDIWl5nDxi2GQ&oe=69310400;"Bu akşam, kadına yönelik şiddete karşı hep birlikte yürüdük. Her adımımızda aynı şeyi hissettik: Kadınların güvende olduğu bir ülke mümkün. Biz, bu mücadelenin sadece bugünü değil; her günü yanında olacağız. Çünkü bir can daha yanmasın diye hep birlikte omuz omuzayız.";;0
https://www.instagram.com/p/DRfJQZxDSuz/;Carousel;471;0;0;2025-11-25 19:45:44;https://scontent-mia3-1.cdninstagram.com/v/t51.82787-15/587436565_18043371572704930_2841888634463799592_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3Mzc3NTcxNDAxODIxMzA3Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=Gy_0la_jrUIQ7kNvwEFpwOB&_nc_oc=AdnsngG_5sc26rZi3ZNKDS_dU2mk8XkK-Y9cO0Oe2Vj6LaMnnLMoKb0Q-f4p18V_GTo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_gid=aWKAt1d0KAtwBmijqBGZKg&oh=00_Afi1h4nqXiP4Y_OPmeqGeY6imi82qLUCFG7pVs2rcOcYWA&oe=69312277;Amasya Kadın Platformu’nun 25 Kasım Kadına Yönelik Şiddete Karşı Uluslararası Mücadele Günü kapsamında düzenlediği basın açıklamasına katıldık.  Şiddetin her türüne karşı kadınların yanında olmaya, seslerine ses katmaya devam edeceğiz.  Eşitlik, adalet ve yaşam hakkı için birlikte mücadele edeceğiz.;;0
https://www.instagram.com/p/DRe9c1KDVmc/;Carousel;206;1;0;2025-11-25 18:02:34;https://scontent-mia3-1.cdninstagram.com/v/t51.82787-15/589144138_18043361543704930_5797621929666785567_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3MzcyMzc4OTY1ODc2MDQzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTYwLnNkci5DMyJ9&_nc_ohc=HnS_phm8TMAQ7kNvwGeTD39&_nc_oc=AdmwHNn7OTw4h2hvSPMQfy4X29BbKeI6bK5tErYouggM-MaL3Qm5Av-d3KhYM4Cv5CM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_gid=aWKAt1d0KAtwBmijqBGZKg&oh=00_AfjPCwE_6GvSYanNcLhnBDvi_R0hQ5R2MrDZRYGbtSp5_g&oe=69312A75;Valimiz Önder BAKAN başkanlığında İl Hayvanları Koruma Kurulu ve Toprak Koruma Kurulu Toplantılarına katıldık.;;0
https://www.instagram.com/p/DReRiWFDVvm/;Reels;4263;91;124708;2025-11-25 11:46:37;https://scontent-mia3-3.cdninstagram.com/v/t51.71878-15/587502459_684691204497616_4445879033552005252_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc3MzUzMDY2NDc0MzAzMzgzMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=1mJeOBrawMkQ7kNvwG1rWJZ&_nc_oc=Admy5SgPCZf93-esaFID0KfSCyBOFJa0TvuCmQtlSbTgvvk7fV0tjhQ5RdoRs7Kcye4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia3-3.cdninstagram.com&_nc_gid=aWKAt1d0KAtwBmijqBGZKg&oh=00_Afg4fo-KQj8jjvoFxvk4reTv1iynmb2Kfc8EhK05QJcZGg&oe=6931237B;"Bir kadına “gözlerinin hastasıyım” diyebilen bir toplum, aynı kadının gözlerine korku, acı, endişe bırakamaz.  Sevgi; şiddetin bahanesi değil, şiddetsiz bir hayatın temeli olmalıdır.  Kadınların özgürce baktığı, umutla yaşadığı bir şehir için mücadelemiz sürüyor.";;0
https://www.instagram.com/p/DReBsZtjXe2/;Photo;253;0;0;2025-11-25 09:20:25;https://scontent-mia3-1.cdninstagram.com/v/t51.82787-15/588607611_18043322945704930_818103914033570645_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc3MzQ2MDk4NzA5NDMzMzM2Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTgwMC5zZHIuQzMifQ%3D%3D&_nc_ohc=cPXbXHxRnOUQ7kNvwHp-OWV&_nc_oc=AdnvH3GDF5oum8UuP7iyIuqmaAfzg44Spr_9TKJPW_AJAXsZwEfIQFtswGUOIjmk__Q&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_gid=aWKAt1d0KAtwBmijqBGZKg&oh=00_Afg4s-VFmPpKpIHH9i9hl_kJ8Tb6jlHsPD6GNIx7nQZ7YQ&oe=69311444;"Kadına yönelik şiddet; sadece bireyin değil, toplumun yarasıdır. Hiçbir gerekçe, hiçbir söz, hiçbir gelenek şiddeti mazur gösteremez.  Amasya’mızda her kadının özgür, güvende ve eşit yaşadığı bir şehir için çalışmaya devam edeceğiz. Şiddetin olmadığı bir yaşam, ancak hep birlikte mümkün.";;0
https://www.instagram.com/p/DRctiwoDXmc/;Reels;2255;16;48682;2025-11-24 21:06:09;https://scontent-mia5-1.cdninstagram.com/v/t51.71878-15/587679467_1157351596521741_4903972657694449377_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc3MzA5MDg4ODU5NjQyMTAyMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=BY4ZlCQqn-sQ7kNvwFhuAwd&_nc_oc=AdkbH3vbAj4MfphU_E3tOBF3c1cweUyHmYJFDCD_uyj2FDeaUTats5UqZVahTqt6s1o&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_gid=aWKAt1d0KAtwBmijqBGZKg&oh=00_AfgTeI3ECu2Ur7hxp33T-zlYrGkObo3GkZL5QVr5sBIdtg&oe=6930F75E;"İlkokul öğretmenim Hatice Işık’ı, Ortaokul öğretmenim Adem Tektaş’ı ve  Lise öğretmenim Mehmet Çağıran’ı sınıf arkadaşlarımla beraber ziyaret ettim.   Bu şehrin çocuklarına yalnızca bilgi değil; karakter, sabır ve umut kazandıran tüm öğretmenlerimize gönülden vefa borçluyuz. Bugün Amasya’mızın her sokağında, her başarısında, her gencimizin gülüşünde onların emeği var.  Aydınlık yarınlarımız için özveriyle çalışan tüm öğretmenlerimize teşekkür ediyor,  Öğretmenler Günü’nü bir kez daha kutluyoruz…";;0
https://www.instagram.com/p/DRcnDSqjUW2/;Carousel;355;5;0;2025-11-24 20:08:22;https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/587031638_18043273988704930_7865990357011193070_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzc3MzA2MjMyNDQ1NTAxNzk5Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=StlEs9WLKewQ7kNvwEgMOGi&_nc_oc=AdnkhYb5YWFTb5T-vp5JCVgOU3ZnIPF9aJyKm0OFgjuhJUGq5015FRHU08TZeVHbapA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=3aoQKa3WB0dc490_zzG9Yg&oh=00_AfgV2HIOiZnzPV4TTi9FL5sktjfgjyKrZ6YxBinootjB7w&oe=693127E8;24 Kasım Öğretmenler Günü vesilesiyle Öğretmenevi’nde değerli öğretmenlerimizi ziyaret ettik. Mesleğine yüreğini koymuş, çocuklarımızın geleceğine emek vermiş tüm öğretmenlerimizle bir arada olmak bizler için büyük bir onurdu.  Amasya’nın aydınlık yarınlarını inşa etmiş tüm öğretmenlerimize şükranlarımı sunuyor, Öğretmenler Günü’nü içtenlikle kutluyorum.;;0
https://www.instagram.com/p/DRcgCl_DUaO/;Carousel;545;0;0;2025-11-24 19:07:06;https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/588253962_18043268423704930_5645477534287887773_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3MzAzMTQ5NDg1MjY2NzU4OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=FJDwCEeQsc0Q7kNvwF5Wjgo&_nc_oc=AdmIe9d3Rii1uJPBDGNexi6V8JxX1nKuAxiaWyo7ipTg7F7eup50yNheTVH_tuU0ylo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=3aoQKa3WB0dc490_zzG9Yg&oh=00_AfivMBVmQnVMTSPqKgiXTPgSjYWqSfpKdxrP7r1bMnn7jQ&oe=69312C9C;Geleceğimizin teminatı olan çocuklarımızı sevgiyle, sabırla ve büyük bir özveriyle yetiştiren belediye kreşimizdeki değerli öğretmenlerimizi bugün ziyaret ettik.  Emeklerini, fedakârlıklarını ve eğitim yolculuğuna kattıkları güzellikleri yakından görmek bizleri çok mutlu etti. Onların güler yüzü, çocuklarımızın mutluluğu ve ailelerimizin güveni en büyük motivasyonumuz.  Tüm öğretmenlerimize çalışmaları için gönülden teşekkür ediyor, Öğretmenler Günü’nü kutluyorum. 🌿✨;;0
https://www.instagram.com/p/DRcBExMjSsK/;Carousel;599;0;0;2025-11-24 14:36:31;https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/587703950_18043244435704930_3879756901096376385_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3Mjg5NTMwMzY5NjI0MzYxMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTIyLnNkci5DMyJ9&_nc_ohc=MnWGqWoNhQwQ7kNvwGfgCgR&_nc_oc=AdnQwqAWJSNLdDRwAGntPuxxUuQz_nccfx0FKcB5CEI4gbZClko4tuDSSWY7QvBMS8Y&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=3aoQKa3WB0dc490_zzG9Yg&oh=00_AfgpKSmXdl9TlhHh9_UvKnzJjNiLSww1kvAgg9UwaqrRgw&oe=6930FF35;24 Kasım Öğretmenler Günü programının ardından Amasya Lisesi’nin değerli öğretmenlerini ve sevgili öğrencilerini belediyemizde misafir ettik. Eğitime adanmış yüreklerle bir araya gelmek, onların düşüncelerini dinlemek ve bu özel günü birlikte yaşamak bizim için büyük bir mutluluk oldu.  Geleceğimizi emanet ettiğimiz gençlerimize emek veren tüm öğretmenlerimize bir kez daha teşekkür ediyor, Öğretmenler Günü’nü kutluyoruz. 🌿📚;;0
https://www.instagram.com/p/DRb7gMiDRhj/;Carousel;426;2;0;2025-11-24 13:47:50;https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/589001428_18043241159704930_5774067401676142347_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzc3Mjg3MDgwMTIxODE5MTY2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4OTU5LnNkci5DMyJ9&_nc_ohc=L-qY0tfkbJ8Q7kNvwE_MSYw&_nc_oc=AdnsqXFRC46bzn-oBfzrguINhCJtWyekguhQNlg0CFGBmyh_vkEKyjUnqm5_hL4XwCA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=3aoQKa3WB0dc490_zzG9Yg&oh=00_AfhQ00hmpXQVcrR3RD1R1sJP379pzx47hhcoGLwyOa4kog&oe=69310B20;"24 Kasım Öğretmenler Günü kapsamında, Amasya Lisesi öğretmen ve öğrencilerimizin hazırladığı anlamlı programda bir araya geldik. Başöğretmenimiz Mustafa Kemal Atatürk’ü saygıyla andığımız, emek veren tüm öğretmenlerimize minnetimizi ifade ettiğimiz bu güzel buluşmada; öğrencilerimizin hazırladığı gösteriler ve müzik dinletileri güne ayrı bir değer kattı.  Aydınlık yarınlarımız için özveriyle çalışan tüm öğretmenlerimize teşekkür ediyor, Öğretmenler Günü’nü bir kez daha kutluyoruz. 🌿";;0
https://www.instagram.com/p/DRbasczDB_t/;Photo;373;0;0;2025-11-24 09:01:09;https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/587473030_18043221935704930_5115030208592623825_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc3MjcyNjUxNjY0MDM5MTE0OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTgwMC5zZHIuQzMifQ%3D%3D&_nc_ohc=pt0oXH8aNYMQ7kNvwE9zI00&_nc_oc=AdlJTHG0v9AO4UtT1SNh6WWB0PQSo_wrJS57Bb1q88ceYPRE8SwxBpNeFMYJkqRT79I&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=3aoQKa3WB0dc490_zzG9Yg&oh=00_AfgPsY8N3rocXEg-TYC8CkCjcejurZgl5DNphL0p9j2SXw&oe=69312B62;"Başöğretmenimiz Mustafa Kemal Atatürk’ün açtığı aydınlık yolda; bilginin, vicdanın ve emeğin ışığını geleceğe taşıyan tüm öğretmenlerimizin Öğretmenler Günü’nü yürekten kutluyorum.  Bir çocuğun gözlerindeki umuda dokunan, bir şehrin geleceğini inşa eden siz değerli öğretmenlerimize minnetle…  Emeklerinizle büyüyen bu ülke, sizin ışığınızla yarınlara güvenle bakıyor. İyi ki varsınız. 🌿📚";;0
https://www.instagram.com/p/DRaHV0wjRXt/;Carousel;746;6;0;2025-11-23 20:52:48;https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/588727585_18043170236704930_6490943739084670904_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzc3MjM1OTkxNTk4MjM2ODM0Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=91vNXdeNWZ0Q7kNvwEK1hGn&_nc_oc=AdkfC4wU_HtC4ocqbNUF91q2RRH5A5EOx0Gl8VP8cBECNm-ST2u-q1bnRC67mtH1cgI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=3aoQKa3WB0dc490_zzG9Yg&oh=00_Afi1Fi5wBbkMRckeBjiXJOqQUkoBax53VqNABAGkyIG9rQ&oe=69310C86;"Bugün CHP Merkez İlçe Gençlik Kolları’mızın organize ettiği “Gelecek Ekrem’le Filizleniyor”  etkinliğinde fidanlarımızı toprakla buluşturduk.   Yeşilin şehri Amasya’da her fidan; geleceğe bırakılan bir nefes, bir iz, bir umut…";;0
https://www.instagram.com/p/DRZVVeSDRnc/;Carousel;727;1;0;2025-11-23 13:35:50;https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/587387935_18043128596704930_7154340667521413340_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc3MjEzOTk4NzcxMDg5MTkwNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjgzNngxMTE0LnNkci5DMyJ9&_nc_ohc=ld_HsTnE4qkQ7kNvwH48kLg&_nc_oc=AdlmnQjNRQj1cqPMHyspDmHRdTbKyfb9SpHfKNtkTRcNCyBsLzPuYJkwt7HYON2UxmA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=3aoQKa3WB0dc490_zzG9Yg&oh=00_AfhlXS1C1QXp2KkUW_AIKEd5WKx1rhUUvJPNYaS3dC5IBw&oe=69312669;Amasya Eğitim İş Şube Sendikasının Öğretmenler Günü için düzenlemiş olduğu Birlik Beraberlik ve Dayanışma kahvaltısına katıldık.  Başöğretmenimiz Gazi Mustafa Kemal Atatürk’ün çizdiği çağdaş eğitim anlayışı doğrultusunda, Amasya’nın aydınlık yarınları için özveriyle çalışan tüm öğretmenlerimize saygılarımı sunuyorum.;;0
